party,year,votes,color
Rashtriya Krantikari Samajwadi Party,2014,46756,#999
Rashtriya Lok Dal,2014,696919,#999
Rashtriya Lok Samta Party,2014,1078473,#999
Rashtriya Manav samman Party,2014,1572,#999
Rashtriya Naujawan Dal,2014,6192,#999
Rashtriya Parivartan Dal,2014,95644,#999
Rashtriya Praja Congress  (Secular),2014,2025,#999
Rashtriya Rashtrawadi Party,2014,2225,#999
Rashtriya Samaj Paksha,2014,458580,#999
Rashtriya Samanta Dal,2014,30880,#999
Rashtriya Sant Sandesh Party,2014,3283,#999
Rashtriya Sarvajan Party,2014,4215,#999
Rashtriya Sawarn Dal,2014,665,#999
Rashtriya Shoshit Samaj Party,2014,1054,#999
Rashtriya Ulama Council,2014,56324,#999
Rashtriya Uttarakhand Party,2014,1629,#999
Rashtriya Vikas Manch Party,2014,1434,#999
Rashtriya Vikas Party,2014,2396,#999
Rashtriya mahan Gantantra Party,2014,2872,#999
Rastriya Insaaf Party,2014,4219,#999
Rayalaseema Parirakshana Samithi,2014,4521,#999
Regional Democratic Secular Congress,2014,10800,#999
Republican Backward Congress,2014,6265,#999
Republican Bahujan Sena,2014,2910,#999
Republican Paksha (Khoripa),2014,70924,#999
Republican Party of India,2014,94802,#999
Republican Party of India (A),2014,199848,#999
Republican Party of India (Khobragade),2014,23110,#999
Republican Party of India Ektavadi,2014,910,#999
Revolutionary Socialist Party,2014,1666380,#999
Revolutionary Socialist Party of Kerala  (Bolshevik) RSP.B,2014,43051,#999
SABJAN,1996,1120,#999
SAD,1951,1047611,#999
SAD,1971,1279873,#999
SAD,1977,2373331,#999
SAD,1980,1396412,#999
SAD,1985,2577279,#999
SAD,1989,100570,#999
SAD,1996,2534979,#999
SAD,1998,3001769,#999
SAD,1999,2502949,#999
SAD,2004,3506681,#999
SAD,2009,4004789,#999
SAD(B),1989,427609,#999
SAD(M),1989,2318872,#999
SAD(M),1991,88084,#999
SAD(M),1992,77970,#999
SAD(M),1996,339520,#999
SAD(M),1998,248529,#999
SAD(M),1999,298846,#999
SAD(M),2004,387682,#999
SAD(M),2009,43137,#999
SAMO,2009,131379,#999
SAP,1996,7256086,#999
SAP,1998,6491639,#999
SAP,2004,201276,#999
SAP,2009,31324,#999
SARVAJAN SAMAJ PARTY (D),2014,6681,#999
SBHP,1996,470,#999
SBP,1999,71279,#999
SBS,2004,4303,#999
SBSP,2004,275267,#999
SBSP,2009,319307,#999
SCF,1951,2521695,#999
SCF,1957,2038890,#999
SCP,1991,250,#999
SCR,1980,11632,#999
SDF,1996,124218,#999
SDF,1998,102440,#999
SDF,1999,107828,#999
SDF,2004,153409,#999
SDF,2009,159351,#999
SDP,2004,1265,#999
SDP(MP),1996,1327,#999
SDP(MP),1998,6671,#999
SGF,2009,1117,#999
SGPP,2009,2284,#999
SHD,1971,193389,#999
SHP,1989,3756,#999
SHRP,2004,2765,#999
SHRP,2009,4639,#999
SHS,1971,227468,#F05A00
SHS,1980,129351,#F05A00
SHS,1989,339426,#F05A00
SHS,1991,2208712,#F05A00
SHS,1996,4989994,#F05A00
SHS,1998,6528566,#F05A00
SHS,1999,5672412,#F05A00
SHS,2004,7056255,#F05A00
SHS,2009,6454950,#F05A00
SHS(R),1991,8810,#999
SHSAD,1999,406421,#999
SHSP,1996,1684,#999
SHSP,1998,4722,#999
SHSP,1999,4080,#999
SHSP,2004,395,#999
SJEP,2009,2849,#999
SJJP,1991,70368,#999
SJP,1980,31750,#999
SJP(M),1996,5784,#999
SJP(R),1998,1181083,#999
SJP(R),1999,297337,#999
SJP(R),2004,337386,#999
SJP(R),2009,30091,#999
SJTP,2009,4816,#999
SKD,1991,29647,#999
SKD,1996,522,#999
SKP,1951,137343,#999
SKP,2009,60333,#999
SKS,1951,29766,#999
SL,1962,80227,#999
SLAP,2004,2987,#999
SLI,1991,2852,#999
SLI,1996,384,#999
SLL,1989,391,#999
SLL,1991,246,#999
SLP,1991,125738,#999
SLP(L),1996,3006,#999
SLP(L),1998,1321,#999
SLP(L),2004,18628,#999
SLP(L),2009,9712,#999
SLP(R),1996,848,#999
SMBHP,2009,14435,#999
SMP,1991,2921,#999
SMP,1996,48056,#999
SMSP,2004,78791,#999
SOC,1962,3099397,#999
SOC,1971,55064,#999
SOCIAL DEMOCRATIC PARTY OF INDIA,2014,396522,#999
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2014,520959,#999
SOP,1989,12430,#999
SOP(L),1989,17639,#999
SOP(L),1991,12928,#999
SOP(RP),1991,7104,#999
SP,1951,11216719,#B15928
SP,1991,4642,#B15928
SP,1996,10989241,#B15928
SP,1998,18167640,#B15928
SP,1999,13717021,#B15928
SP,2004,16824072,#B15928
SP,2009,14284638,#B15928
SPC,1980,5125,#999
SPI,1999,1180,#999
SPI,2004,3041,#999
SPSP,1999,13437,#999
SPVD,2004,27135,#999
SRP,1989,1928,#999
SRP,1991,571,#999
SRP,1999,30779,#999
SRS,1991,1040,#999
SSBD,2009,589,#999
SSD,1977,96753,#999
SSD,1980,38226,#999
SSD,1989,42282,#999
SSD,1991,19925,#999
SSD,1996,11937,#999
SSD,1998,24303,#999
SSD,1999,19330,#999
SSD,2004,8862,#999
SSD,2009,26807,#999
SSJP,1998,4238,#999
SSJP,1999,2932,#999
SSJP,2004,2679,#999
SSP,1967,7171628,#999
SSP,1971,3555639,#999
SSP,1989,91608,#999
SSP,1991,106247,#999
SSP,1996,42175,#999
SSP,1999,86466,#999
SSP,2004,3216,#999
STBP,2009,188608,#999
STPI,2009,5537,#999
SUC,1971,157703,#999
SUC,1977,280995,#999
SUC,1980,307224,#999
SUC,1984,196767,#999
SUC,1989,8747,#999
SUP,1991,4705,#999
SUP,1996,4917,#999
SUSP,2009,5120,#999
SVP,1989,3470,#999
SVPP,2009,2275,#999
SVRP,2004,18374,#999
SVRP,2009,1704,#999
SVSP,1996,84725,#999
SVSP,1998,76980,#999
SVSP,1999,10906,#999
SVSP,2004,21246,#999
SVSP,2009,2486,#999
SWA,1962,9085252,#999
SWA,1967,12646847,#999
SWA,1971,4497988,#999
SWD,1996,1637,#999
SWD,2004,298,#999
SWJP,1998,9848,#999
SWJP,2004,17717,#999
SWJP,2009,23539,#999
SWP,2009,481025,#999
SWPI,2009,1230,#999
SYP,1996,3319,#999
Samaikya Telugu Rajyam,2014,6517,#999
Samaikyandhra Parirakshana Samithi,2014,4870,#999
Samajwadi Jan Parishad,2014,10008,#999
Samajwadi Janata Party (Rashtriya),2014,59756,#999
Samajwadi Party,2014,18672916,#B15928
Samajwadi Samaj Party,2014,4947,#999
Samata Kranti Dal,2014,20910,#999
Samata Party,2014,21635,#999
Samata Samadhan Party,2014,16501,#999
Samruddha Odisha,2014,9794,#999
Samta Vikas Party,2014,763,#999
Samtawadi Republican Party,2014,9561,#999
Samyak Parivartan Party,2014,30805,#999
Sanatan Sanskriti Raksha Dal,2014,7115,#999
Sankhyanupati Bhagidari Party,2014,16078,#999
Sanyukt Samajwadi Dal,2014,6788,#999
Sardar Vallabhbhai Patel Party,2014,394,#999
Sarva Janata Party,2014,15474,#999
Sarva Samaj Kalyan Party,2014,10239,#999
Sarvajan Kalyan Loktantrik Party,2014,19253,#999
Sarvshreshth Dal,2014,2329,#999
Shakti Sena (Bharat Desh),2014,4465,#999
Shiromani Akali Dal,2014,3636148,#999
Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2014,35516,#999
Shivrajya Party,2014,944,#999
Shivsena,2014,10262982,#F05A00
Shoshit Samaj Dal,2014,16446,#999
Shoshit Sandesh Party,2014,2982,#999
Shramajeevi Party,2014,8003,#999
Sikkim Democratic Front,2014,163698,#999
Sikkim Krantikari Morcha,2014,121956,#999
Social Action Party,2014,682,#999
Socialist Janata (Democratic),2014,307597,#999
Socialist Party (India),2014,41516,#999
Socialist Party (Lohia),2014,1997,#999
Socialist Republican Party,2014,6512,#999
Socialistic Democratic Party,2014,17435,#999
Suheldev Bhartiya Samaj Party,2014,118947,#999
Swabhimani Paksha,2014,1105073,#999
Swaraj (J),2014,14152,#999
Swarajya Party Of India,2014,11361,#999
Swatantra Samaj Party,2014,4016,#999
TDK,1999,25209,#999
TDK,2004,25348,#999
TDP,1984,10132859,#4bacc6
TDP,1989,9909728,#4bacc6
TDP,1991,8223271,#4bacc6
TDP,1996,9931826,#4bacc6
TDP,1998,10199463,#4bacc6
TDP,1999,13297370,#4bacc6
TDP,2004,11844811,#4bacc6
TDP,2009,10481659,#4bacc6
TEC,1971,43548,#999
TGPP,1998,344,#999
THMM,1999,2675,#999
THPI,1998,4439,#999
THPI,1999,4192,#999
THPI,2009,7296,#999
TLJ,1998,1697,#999
TMC(M),1996,7339982,#999
TMC(M),1998,5169183,#999
TMC(M),1999,2058636,#999
TMK,1991,665,#999
TMM,1989,64885,#999
TMM,1991,55165,#999
TNC,1984,144076,#999
TNGP,2004,14933,#999
TNHVYK,1996,422,#999
TNP,1962,92389,#999
TNPWP,1999,1631,#999
TNT,1951,889292,#999
TP,1951,36158,#999
TPPP,2009,48136,#999
TPS,1971,1873589,#999
TRC,1999,338278,#999
TRM,1989,12859,#999
TRMRPPI,1998,2503,#999
TRS,2004,2441405,#999
TRS,2009,2582326,#999
TS,1951,116629,#999
TTC,1951,115893,#999
TUJS,1996,52300,#999
TUS,1977,35916,#999
TUS,1980,111953,#999
Tamil Nadu Makkal Congress,2014,49038,#999
Telangana Communist Party of India,2014,2311,#999
Telangana Loksatta Party,2014,2568,#999
Telangana Rashtra Samithi,2014,6736490,#999
Telugu Desam,2014,14094545,#4bacc6
The Lok Party of India,2014,5804,#999
The Religion of Man Revolving Political Party of India,2014,1071,#999
Thrinamool Tamil Nadu Congress,2014,474,#999
Tripura Pragatishil Gramin Congress,2014,8952,#999
UBNLF,1999,7611,#999
UCP,1998,1591,#999
UCP,1999,1414,#999
UCPI,1998,10018,#999
UCPI,2009,1713,#999
UDF,1977,124627,#999
UDF,1980,140210,#999
UDP,1998,213924,#999
UDP,1999,107197,#999
UDP,2009,124402,#999
UFN,1971,89514,#999
UGDP,1996,109346,#999
UGDP,1998,132558,#999
UGDP,1999,11153,#999
UGDP,2004,5881,#999
UGDP,2009,16727,#999
UGF,1967,1714,#999
UGS,1967,100137,#999
UGS,1971,58401,#999
UIDC,1996,374,#999
UKD,1989,39465,#999
UKD,1991,47369,#999
UKKD,1998,30654,#999
UKKD,1999,14302,#999
UKKD,2004,43899,#999
UKKD,2009,38633,#999
UKS,1951,60254,#999
UMF,1991,206737,#999
UMFA,1996,244571,#999
UMFA,1998,357759,#999
UMFA,1999,53661,#999
UMFA,2004,64657,#999
UMK,2009,13193,#999
UNLP,2009,2658,#999
UPPP,1951,213656,#999
UPRP,1989,91740,#999
UPRP,1991,28379,#999
UPRP,1996,22515,#999
UPRP,1998,552,#999
UPRP,2009,4604,#999
URC,1991,170376,#999
URMCA,1998,151543,#999
URMCA,1999,246942,#999
USYP,2004,33128,#999
UTC,1971,1053176,#999
UTNLF,1996,34803,#999
UTNLF,1998,11287,#999
UTNLF,1999,8429,#999
UTTARAKHAND PARIVARTAN PARTY,2014,2045,#999
UWF,2009,12338,#999
Ulzaipali Makkal Katchy,2014,9194,#999
Union Party of India,2014,944,#999
United Communist Party of India,2014,6472,#999
United Democratic Party,2014,106817,#999
Uttar Pradesh Republican Party,2014,542,#999
VAJP,2009,17868,#999
VANCHITSAMAJ INSAAF PARTY,2014,23991,#999
VBP,1989,621,#999
VBP,1991,56,#999
VCK,2009,735847,#999
VHP,1971,352514,#999
VHP,1977,192867,#999
VHS,2009,935,#999
VJC,2004,9097,#999
VJP,1996,3328,#999
VJP,2004,1304,#999
VJS,1989,1093,#999
VP,2004,2998,#999
VP,2009,5840,#999
VPP,1991,5597,#999
VRP,2004,36974,#999
VVS,2009,837,#999
Vanchit Jamat Party,2014,350,#999
Vichara Jagruthi Congress Paksha,2014,3972,#999
Viduthalai Chiruthaigal Katchi,2014,606110,#999
Vishva Hindustani Sangathan,2014,2880,#999
Vishva SHakti Party,2014,263,#999
Voters Party,2014,1089,#999
WBS(BM),1989,2411,#999
WBTC,1998,8920583,#999
WPI,1991,1781,#999
WT,1962,11372,#999
Welfare Party Of India,2014,228642,#999
YFE,2009,2099,#999
YGP,2004,4140,#999
YSP,2004,6580,#999
YSP,2009,2582,#999
YVP,1991,28159,#999
YVP,2009,3129,#999
Yuva Sarkar,2014,4578,#999
Yuvajana Sramika Rythu Congress Party,2014,13991280,#999
ZP,1951,291300,#999
awami aamjan party,2014,4378,#999
