constituency,S,District,Group,candidate,party,Alliance,votes,rank,name,location,slr
Salem (West),N,Salem,5,Venkatachalam.G,ADMK,ADMK+,69125,1,Venkatachalam.G,,
Salem (West),N,Salem,5,Mohan Raj,DMDK,PWF+,59504,2,Mohan Raj,,
Salem (West),N,Salem,5,Paneer Selvam,DMK,DMK+,51278,3,Paneer Selvam,,
Salem (West),N,Salem,5,Koventhan,NTK,NTK+,38401,4,Koventhan,,
Salem (West),N,Salem,5,Arul.R,PMK,PMK+,18516,5,Arul.R,,
Salem (West),N,Salem,5,Hariharan,IJK,BJP+,4476,6,Hariharan,,
Salem (North),N,Salem,5,Gopinath,BJP,BJP+,56104,1,Gopinath,,
Salem (North),N,Salem,5,Deva Das.R,TMC,PWF+,52856,2,Deva Das.R,,
Salem (North),N,Salem,5,Raja Ammayappan,NTK,NTK+,37854,3,Raja Ammayappan,,
Salem (North),N,Salem,5,Kathir. Raja Rathnam,PMK,PMK+,35258,4,Kathir. Raja Rathnam,,
Salem (North),N,Salem,5,Saravanan.K.R.S,ADMK,ADMK+,22610,5,Saravanan.K.R.S,,
Salem (North),N,Salem,5,Rajendran,DMK,DMK+,2755,6,Rajendran,,
Salem (South),N,Salem,5,Jaya Chandran,VC,PWF+,45638,1,Jaya Chandran,,
Salem (South),N,Salem,5,Anna Durai,BJP,BJP+,45260,2,Anna Durai,,
Salem (South),N,Salem,5,Kumar.K,PMK,PMK+,36715,3,Kumar.K,,
Salem (South),N,Salem,5,Prema,NTK,NTK+,28859,4,Prema,,
Salem (South),N,Salem,5,Gunasekaran,DMK,DMK+,25816,5,Gunasekaran,,
Salem (South),N,Salem,5,Sakthi Vel.A.B,ADMK,ADMK+,7683,6,Sakthi Vel.A.B,,
Veerapandi,N,Salem,5,Samraj.A.R.P,PMK,PMK+,55321,1,Samraj.A.R.P,,
Veerapandi,N,Salem,5,Rajendran,DMK,DMK+,54587,2,Rajendran,,
Veerapandi,N,Salem,5,Sasi Kumar,NTK,NTK+,38433,3,Sasi Kumar,,
Veerapandi,N,Salem,5,Mohan Kumar,IJK,BJP+,22332,4,Mohan Kumar,,
Veerapandi,N,Salem,5,Mohan.A,CPM,PWF+,6371,5,Mohan.A,,
Veerapandi,N,Salem,5,Manon Mani.S,ADMK,ADMK+,5692,6,Manon Mani.S,,
Villupuram,N,Villupuram,5,Jaya Kumar.R,BJP,BJP+,52003,1,Jaya Kumar.R,,
Villupuram,N,Villupuram,5,Palani Vel.P,PMK,PMK+,49273,2,Palani Vel.P,,
Villupuram,N,Villupuram,5,Venkateshan,DMDK,PWF+,42465,3,Venkateshan,,
Villupuram,N,Villupuram,5,Subramani,NTK,NTK+,32743,4,Subramani,,
Villupuram,N,Villupuram,5,Ameer Abbas,IUML,DMK+,11203,5,Ameer Abbas,,
Rasipuram,S,Namakkal,6,Arun,NTK,NTK+,65168,1,Arun,,
Rasipuram,S,Namakkal,6,Guppu Swamy,BJP,BJP+,64467,2,Guppu Swamy,,
Rasipuram,S,Namakkal,6,Dr.Saroja.V,ADMK,ADMK+,46505,3,Dr.Saroja.V,,
Rasipuram,S,Namakkal,6,Durai Swamy.V.P,DMK,DMK+,43137,4,Durai Swamy.V.P,,
Rasipuram,S,Namakkal,6,Arjun.K,VC,PWF+,13781,5,Arjun.K,,
Senthamangalam,S,Namakkal,6,Susheela.S,PMK,PMK+,64160,1,Susheela.S,,
Senthamangalam,S,Namakkal,6,Malar Kodi Anbhu Thambi,NTK,NTK+,59802,2,Malar Kodi Anbhu Thambi,,
Senthamangalam,S,Namakkal,6,Chandra Sekaran.C,ADMK,ADMK+,32812,3,Chandra Sekaran.C,,
Senthamangalam,S,Namakkal,6,Ponnu Swamy,DMK,DMK+,25375,4,Ponnu Swamy,,
Senthamangalam,S,Namakkal,6,Sathya,DMDK,PWF+,9113,5,Sathya,,
Namakkal,N,Namakkal,6,Chezhiyan,INC,DMK+,59750,1,Chezhiyan,,
Namakkal,N,Namakkal,6,Baskar.K.P.P,ADMK,ADMK+,52310,2,Baskar.K.P.P,,
Namakkal,N,Namakkal,6,Durai Swamy.A,PMK,PMK+,51364,3,Durai Swamy.A,,
Namakkal,N,Namakkal,6,Rajendran,IMKMK,BJP+,7914,4,Rajendran,,
Namakkal,N,Namakkal,6,Elango.N,TMC,PWF+,1662,5,Elango.N,,
Paramathi-Velur,N,Namakkal,6,Muthu Kumar,DMDK,PWF+,57971,1,Muthu Kumar,,
Paramathi-Velur,N,Namakkal,6,Rajendran,ADMK,ADMK+,41418,2,Rajendran,,
Paramathi-Velur,N,Namakkal,6,Ramesh.P,PMK,PMK+,38462,3,Ramesh.P,,
Paramathi-Velur,N,Namakkal,6,Raj Gownder @ Rajkumar,BJP,BJP+,36094,4,Raj Gownder @ Rajkumar,,
Paramathi-Velur,N,Namakkal,6,Moorthy,DMK,DMK+,28392,5,Moorthy,,
Tiruchengodu,N,Namakkal,6,Elangovan,DMK,DMK+,60423,1,Elangovan,,
Tiruchengodu,N,Namakkal,6,Vijaya Kamal,DMDK,PWF+,59444,2,Vijaya Kamal,,
Tiruchengodu,N,Namakkal,6,Raja.S,PMK,PMK+,46060,3,Raja.S,,
Tiruchengodu,N,Namakkal,6,Natarajan,NTK,NTK+,28386,4,Natarajan,,
Tiruchengodu,N,Namakkal,6,Ponn Saraswathi,ADMK,ADMK+,20282,5,Ponn Saraswathi,,
Erode (East),N,Erode,6,Koothan,NTK,NTK+,69333,1,Koothan,,
Erode (East),N,Erode,6,Chandra Kumar,MDMDK,DMK+,48973,2,Chandra Kumar,,
Erode (East),N,Erode,6,Rajendran.P,PMK,PMK+,39508,3,Rajendran.P,,
Erode (East),N,Erode,6,Chairman.Ponn.Kumar,DMDK,PWF+,37241,4,Chairman.Ponn.Kumar,,
Erode (East),N,Erode,6,Thennarasu,ADMK,ADMK+,28974,5,Thennarasu,,
Erode (East),N,Erode,6,Rajesh Kumar.P,BJP,BJP+,27964,6,Rajesh Kumar.P,,
Modakkurichi,N,Erode,6,Siva Subramanian.V.P,ADMK,ADMK+,63947,1,Siva Subramanian.V.P,,
Modakkurichi,N,Erode,6,Logu @ Prakash.K,NTK,NTK+,56372,2,Logu @ Prakash.K,,
Modakkurichi,N,Erode,6,Sachithanantham,DMK,DMK+,44465,3,Sachithanantham,,
Modakkurichi,N,Erode,6,Nachi Muthu.C,PMK,PMK+,40782,4,Nachi Muthu.C,,
Modakkurichi,N,Erode,6,Krishna Kumar,BJP,BJP+,27015,5,Krishna Kumar,,
Modakkurichi,N,Erode,6,Ramesh,DMDK,PWF+,3117,6,Ramesh,,
Perundurai,N,Erode,6,Kumareshan.P,PMK,PMK+,67771,1,Kumareshan.P,,
Perundurai,N,Erode,6,Thoppu N.T.Venkatachalam,ADMK,ADMK+,65758,2,Thoppu N.T.Venkatachalam,,
Perundurai,N,Erode,6,Chandra Sekar,BJP,BJP+,51071,3,Chandra Sekar,,
Perundurai,N,Erode,6,Mohana Sundaram,DMK,DMK+,17458,4,Mohana Sundaram,,
Bhavani,N,Erode,6,Sivakumar,DMK,DMK+,68809,1,Sivakumar,,
Bhavani,N,Erode,6,Karuppanan.K.C,ADMK,ADMK+,35429,2,Karuppanan.K.C,,
Bhavani,N,Erode,6,Ramanathan.K.V,PMK,PMK+,35204,3,Ramanathan.K.V,,
Bhavani,N,Erode,6,Seetha Lakshmi,NTK,NTK+,16504,4,Seetha Lakshmi,,
Bhavani,N,Erode,6,Gopal,DMDK,PWF+,4603,5,Gopal,,
Bhavanisagar,S,Erode,6,Vadi Velu.N.R,PMK,PMK+,67399,1,Vadi Velu.N.R,,
Bhavanisagar,S,Erode,6,Sangeetha,NTK,NTK+,45391,2,Sangeetha,,
Bhavanisagar,S,Erode,6,Sathya,DMK,DMK+,26851,3,Sathya,,
Bhavanisagar,S,Erode,6,Easwaran.S,ADMK,ADMK+,15780,4,Easwaran.S,,
Bhavanisagar,S,Erode,6,Sundaram.P.L.,CPM,PWF+,15668,5,Sundaram.P.L.,,
Bhavanisagar,S,Erode,6,Palani Swamy.N.R,BJP,BJP+,4631,6,Palani Swamy.N.R,,
Udhagamandalam,N,Nilgiris,6,King Narsesus,DMDK,PWF+,53404,1,King Narsesus,,
Udhagamandalam,N,Nilgiris,6,Paul Raj.M,PMK,PMK+,42148,2,Paul Raj.M,,
Udhagamandalam,N,Nilgiris,6,Raman.J,BJP,BJP+,35601,3,Raman.J,,
Udhagamandalam,N,Nilgiris,6,Kapachi D.Vinod,ADMK,ADMK+,23865,4,Kapachi D.Vinod,,
Gudalur,S,Nilgiris,6,Murugesh.R,PMK,PMK+,69274,1,Murugesh.R,,
Gudalur,S,Nilgiris,6,Diravida Mani,DMK,DMK+,50313,2,Diravida Mani,,
Gudalur,S,Nilgiris,6,Kalai Selvan.S,ADMK,ADMK+,43431,3,Kalai Selvan.S,,
Gudalur,S,Nilgiris,6,Tamil Mani.P,CPI,PWF+,32861,4,Tamil Mani.P,,
Gudalur,S,Nilgiris,6,Anbu @ Anbarasan,BJP,BJP+,24634,5,Anbu @ Anbarasan,,
Coonoor,N,Nilgiris,6,Kumaran.B,BJP,BJP+,69564,1,Kumaran.B,,
Coonoor,N,Nilgiris,6,Chidambaram,DMDK,PWF+,66510,2,Chidambaram,,
Coonoor,N,Nilgiris,6,Mahesh @ Mahendran.M,PMK,PMK+,60413,3,Mahesh @ Mahendran.M,,
Coonoor,N,Nilgiris,6,Mubarak,DMK,DMK+,44845,4,Mubarak,,
Coonoor,N,Nilgiris,6,Ramu.A Shanthi,ADMK,ADMK+,23037,5,Ramu.A Shanthi,,
Coonoor,N,Nilgiris,6,Rama Swamy,NTK,NTK+,7707,6,Rama Swamy,,
Kumarapalayam,N,Erode,6,Easwaran.K,BJP,BJP+,67504,1,Easwaran.K,,
Kumarapalayam,N,Erode,6,Yuvaraj,DMK,DMK+,62478,2,Yuvaraj,,
Kumarapalayam,N,Erode,6,Matheswaran,DMDK,PWF+,37030,3,Matheswaran,,
Kumarapalayam,N,Erode,6,Arun Kumar.K,NTK,NTK+,31768,4,Arun Kumar.K,,
Kumarapalayam,N,Erode,6,Moorthy.,PMK,PMK+,31109,5,Moorthy.,,
Erode (West),N,Erode,6,Palani Chamy.N.P,BJP,BJP+,59635,1,Palani Chamy.N.P,,
Erode (West),N,Erode,6,Tamil Selvan,NTK,NTK+,43629,2,Tamil Selvan,,
Erode (West),N,Erode,6,Muthu Swamy,DMK,DMK+,201,3,Muthu Swamy,,
Dharapuram,S,Tiruppur,7,Madhavan.K,PMK,PMK+,67163,1,Madhavan.K,,
Dharapuram,S,Tiruppur,7,Pitchai Muthu,NTK,NTK+,54625,2,Pitchai Muthu,,
Dharapuram,S,Tiruppur,7,Thiru Valluvan,MDMK,PWF+,46276,3,Thiru Valluvan,,
Dharapuram,S,Tiruppur,7,Ponnu Swamy.K,ADMK,ADMK+,35083,4,Ponnu Swamy.K,,
Dharapuram,S,Tiruppur,7,Kali Muthu,INC,DMK+,31218,5,Kali Muthu,,
Kangayam,N,Tiruppur,7,Thani Arasu.U,KIP,ADMK+,31168,1,Thani Arasu.U,,
Kangayam,N,Tiruppur,7,Karuppu Swamy.P,PMK,PMK+,28231,2,Karuppu Swamy.P,,
Kangayam,N,Tiruppur,7,Usha Devi,BJP,BJP+,27475,3,Usha Devi,,
Kangayam,N,Tiruppur,7,Gopi,DMK,DMK+,18181,4,Gopi,,
Kangayam,N,Tiruppur,7,Muthu Venkateshwaran,DMDK,PWF+,6593,5,Muthu Venkateshwaran,,
Andhiyur,N,Tiruppur,7,Raja Sambath,DMDK,PWF+,57095,1,Raja Sambath,,
Andhiyur,N,Tiruppur,7,Gopal.S.C.R,PMK,PMK+,52769,2,Gopal.S.C.R,,
Andhiyur,N,Tiruppur,7,Venkatachalam,DMK,DMK+,24029,3,Venkatachalam,,
Andhiyur,N,Tiruppur,7,Raja @ Raja Krishnan.E.M.R,ADMK,ADMK+,2486,4,Raja @ Raja Krishnan.E.M.R,,
Andhiyur,N,Tiruppur,7,Mohan Kumar.P.G,BJP,BJP+,1960,5,Mohan Kumar.P.G,,
Gobichettipalayam,N,Tiruppur,7,Gowrisan,NTK,NTK+,55866,1,Gowrisan,,
Gobichettipalayam,N,Tiruppur,7,Saravanan,INC,DMK+,43326,2,Saravanan,,
Gobichettipalayam,N,Tiruppur,7,Munu Swamy.A.M,CPI,PWF+,38661,3,Munu Swamy.A.M,,
Gobichettipalayam,N,Tiruppur,7,Guppu Swamy.P,PMK,PMK+,23313,4,Guppu Swamy.P,,
Gobichettipalayam,N,Tiruppur,7,Chenkottayan.K.A,ADMK,ADMK+,13854,5,Chenkottayan.K.A,,
Avanashi,S,Tiruppur,7,Aananthan,DMK,DMK+,62054,1,Aananthan,,
Avanashi,S,Tiruppur,7,Perumal.C,BJP,BJP+,37179,2,Perumal.C,,
Avanashi,S,Tiruppur,7,Sumathi,NTK,NTK+,28974,3,Sumathi,,
Avanashi,S,Tiruppur,7,Mari Muthu.K.K,PMK,PMK+,25443,4,Mari Muthu.K.K,,
Avanashi,S,Tiruppur,7,Dhanabal.P,ADMK,ADMK+,9556,5,Dhanabal.P,,
Tiruppur (North),N,Tiruppur,7,Swamy Nathan,DMK,DMK+,69092,1,Swamy Nathan,,
Tiruppur (North),N,Tiruppur,7,Siva Kumar.P,NTK,NTK+,36773,2,Siva Kumar.P,,
Tiruppur (North),N,Tiruppur,7,Subramanian.,PMK,PMK+,35199,3,Subramanian.,,
Tiruppur (North),N,Tiruppur,7,Subramanian.Ravi.N,CPM,PWF+,28816,4,Subramanian.Ravi.N,,
Tiruppur (North),N,Tiruppur,7,Chinna Swamy,BJP,BJP+,23573,5,Chinna Swamy,,
Tiruppur (North),N,Tiruppur,7,Vijaya Kumar.K.N,ADMK,ADMK+,9511,6,Vijaya Kumar.K.N,,
Tiruppur (South),N,Tiruppur,7,Guna Sekaran.S,ADMK,ADMK+,65161,1,Guna Sekaran.S,,
Tiruppur (South),N,Tiruppur,7,Point Mani,BJP,BJP+,31856,2,Point Mani,,
Tiruppur (South),N,Tiruppur,7,Selvaraj,DMK,DMK+,24629,3,Selvaraj,,
Tiruppur (South),N,Tiruppur,7,Manzoor.T.S,PMK,PMK+,952,4,Manzoor.T.S,,
Palladam,N,Tiruppur,7,Karai Puthur A.Natarajan,ADMK,ADMK+,67987,1,Karai Puthur A.Natarajan,,
Palladam,N,Tiruppur,7,Muthu Rathinam,MDMK,PWF+,62088,2,Muthu Rathinam,,
Palladam,N,Tiruppur,7,Vadivelu.C,PMK,PMK+,58921,3,Vadivelu.C,,
Palladam,N,Tiruppur,7,Vanmathi Velu Swamy,NTK,NTK+,25260,4,Vanmathi Velu Swamy,,
Palladam,N,Tiruppur,7,Krishna Moorthy,DMK,DMK+,14256,5,Krishna Moorthy,,
Kavundampalayam,N,Coimbatore,7,Rama Moorthy.V,CPI,PWF+,69143,1,Rama Moorthy.V,,
Kavundampalayam,N,Coimbatore,7,Nandha Kumar.R,BJP,BJP+,58865,2,Nandha Kumar.R,,
Kavundampalayam,N,Coimbatore,7,Aarukkutti.V.C,ADMK,ADMK+,35787,3,Aarukkutti.V.C,,
Kavundampalayam,N,Coimbatore,7,Ponn Gowsalya,NTK,NTK+,29546,4,Ponn Gowsalya,,
Kavundampalayam,N,Coimbatore,7,Paiya Gownder,DMK,DMK+,18624,5,Paiya Gownder,,
Coimbatore North,N,Coimbatore,7,Meena Logu,DMK,DMK+,64906,1,Meena Logu,,
Coimbatore North,N,Coimbatore,7,Arun Kumar.P.R.G,ADMK,ADMK+,58366,2,Arun Kumar.P.R.G,,
Coimbatore North,N,Coimbatore,7,Balendhran,NTK,NTK+,27630,3,Balendhran,,
Coimbatore North,N,Coimbatore,7,Kannan @ Devaraj.S,BJP,BJP+,5071,4,Kannan @ Devaraj.S,,
Coimbatore North,N,Coimbatore,7,Dr.Kamaraj Natesan.C,PMK,PMK+,20,5,Dr.Kamaraj Natesan.C,,
Thondamuthur,N,Coimbatore,7,Syed,MMK,DMK+,58168,1,Syed,,
Thondamuthur,N,Coimbatore,7,Aanantha Raj,NTK,NTK+,21765,2,Aanantha Raj,,
Thondamuthur,N,Coimbatore,7,Velu Mani.S.P,ADMK,ADMK+,11284,3,Velu Mani.S.P,,
Singanallur,N,Coimbatore,7,Amman K.Archunan,ADMK,ADMK+,68028,1,Amman K.Archunan,,
Singanallur,N,Coimbatore,7,Penjamin,NTK,NTK+,62044,2,Penjamin,,
Singanallur,N,Coimbatore,7,Palani Swamy.K.I,PMK,PMK+,57886,3,Palani Swamy.K.I,,
Singanallur,N,Coimbatore,7,Vanitha Seenivasan,BJP,BJP+,45131,4,Vanitha Seenivasan,,
Singanallur,N,Coimbatore,7,Mayura.S.Sivakumar,INC,DMK+,39745,5,Mayura.S.Sivakumar,,
Singanallur,N,Coimbatore,7,Padmanabhan.C.,CPI,PWF+,7618,6,Padmanabhan.C.,,
Pollachi,N,Coimbatore,7,Kannappan.V.K,PMK,PMK+,62433,1,Kannappan.V.K,,
Pollachi,N,Coimbatore,7,Sivakumar,BJP,BJP+,59808,2,Sivakumar,,
Pollachi,N,Coimbatore,7,Tamil Mani,DMK,DMK+,39883,3,Tamil Mani,,
Pollachi,N,Coimbatore,7,Uma Maheshwari,NTK,NTK+,32880,4,Uma Maheshwari,,
Pollachi,N,Coimbatore,7,Jaya Raman Pollachi.V,ADMK,ADMK+,28362,5,Jaya Raman Pollachi.V,,
Pollachi,N,Coimbatore,7,Muthu Kumar,DMDK,PWF+,22757,6,Muthu Kumar,,
Valparai,S,Coimbatore,7,Sarala,NTK,NTK+,64844,1,Sarala,,
Valparai,S,Coimbatore,7,Paul Pandi,DMK,DMK+,47384,2,Paul Pandi,,
Valparai,S,Coimbatore,7,Kasthuri Vasu,ADMK,ADMK+,24899,3,Kasthuri Vasu,,
Valparai,S,Coimbatore,7,Murugeshan.P,BJP,BJP+,23988,4,Murugeshan.P,,
Valparai,S,Coimbatore,7,Mani Bharathy.P,CPM,PWF+,2189,5,Mani Bharathy.P,,
Udumalpet,N,Tiruppur,7,Muthu,DMK,DMK+,54788,1,Muthu,,
Udumalpet,N,Tiruppur,7,Siva Kumar,NTK,NTK+,25736,2,Siva Kumar,,
Udumalpet,N,Tiruppur,7,Udumal Pet K.Radha Krishnan,ADMK,ADMK+,24558,3,Udumal Pet K.Radha Krishnan,,
Udumalpet,N,Tiruppur,7,Kantha Swamy.U.K.P.N.,BJP,BJP+,20921,4,Kantha Swamy.U.K.P.N.,,
Udumalpet,N,Tiruppur,7,Durai Swamy.P..,PMK,PMK+,2146,5,Durai Swamy.P..,,
Madathukulam,N,Tiruppur,7,Ravichandran.A,PMK,PMK+,65495,1,Ravichandran.A,,
Madathukulam,N,Tiruppur,7,Muthu Kumar,IMKMK,BJP+,65185,2,Muthu Kumar,,
Madathukulam,N,Tiruppur,7,Jaya Rama Krishnan,DMK,DMK+,44794,3,Jaya Rama Krishnan,,
Madathukulam,N,Tiruppur,7,Ravi Shankar,NTK,NTK+,28007,4,Ravi Shankar,,
Madathukulam,N,Tiruppur,7,Manoharan.K,ADMK,ADMK+,13521,5,Manoharan.K,,
Madathukulam,N,Tiruppur,7,Maheshwari.,TMC,PWF+,2006,6,Maheshwari.,,
Sulur,N,Coimbatore,7,Mohan Manthra Chalam,BJP,BJP+,64884,1,Mohan Manthra Chalam,,
Sulur,N,Coimbatore,7,Manoharan.V.M.C,INC,DMK+,16845,2,Manoharan.V.M.C,,
Coimbatore South,N,Coimbatore,7,Arjun Raj,MDMK,PWF+,65019,1,Arjun Raj,,
Coimbatore South,N,Coimbatore,7,Ashok Sri Nithi,PMK,PMK+,53065,2,Ashok Sri Nithi,,
Coimbatore South,N,Coimbatore,7,Nandha Kumar.C.R,BJP,BJP+,40788,3,Nandha Kumar.C.R,,
Coimbatore South,N,Coimbatore,7,Kalyana Sundaram,NTK,NTK+,35071,4,Kalyana Sundaram,,
Coimbatore South,N,Coimbatore,7,Karthik,DMK,DMK+,29328,5,Karthik,,
Kinathukkadavu,N,Coimbatore,7,Kurunji Prabhakar,DMK,DMK+,65043,1,Kurunji Prabhakar,,
Kinathukkadavu,N,Coimbatore,7,Selva Kumar,NTK,NTK+,59944,2,Selva Kumar,,
Kinathukkadavu,N,Coimbatore,7,Easwaran,MDMK,PWF+,34881,3,Easwaran,,
Kinathukkadavu,N,Coimbatore,7,Chinna Swamy.R,PMK,PMK+,25500,4,Chinna Swamy.R,,
Bargur,N,Krishnagiri,8,Rajendran.Vee.C,ADMK,ADMK+,62832,1,Rajendran.Vee.C,,
Bargur,N,Krishnagiri,8,Govindharajan,DMK,DMK+,32113,2,Govindharajan,,
Bargur,N,Krishnagiri,8,Mani Vannan,IMKMK,BJP+,29771,3,Mani Vannan,,
Bargur,N,Krishnagiri,8,Easwaran,NTK,NTK+,29721,4,Easwaran,,
Bargur,N,Krishnagiri,8,Kumar.A,PMK,PMK+,10383,5,Kumar.A,,
Bargur,N,Krishnagiri,8,Rajendran.M.R,TMC,PWF+,9713,6,Rajendran.M.R,,
Krishnagiri,N,Krishnagiri,8,Parthibhan Ponn,NTK,NTK+,54153,1,Parthibhan Ponn,,
Krishnagiri,N,Krishnagiri,8,Jaya Prakash.R,TMC,PWF+,48735,2,Jaya Prakash.R,,
Krishnagiri,N,Krishnagiri,8,Arun Gowtham,IJK,BJP+,40619,3,Arun Gowtham,,
Krishnagiri,N,Krishnagiri,8,Govindharaj.V,ADMK,ADMK+,37492,4,Govindharaj.V,,
Krishnagiri,N,Krishnagiri,8,Kumar.S,PMK,PMK+,31543,5,Kumar.S,,
Krishnagiri,N,Krishnagiri,8,Chenkuttuvan,DMK,DMK+,8003,6,Chenkuttuvan,,
Veppanahalli,N,Krishnagiri,8,Hem Nath,ADMK,ADMK+,59775,1,Hem Nath,,
Veppanahalli,N,Krishnagiri,8,Tamil Selvi Varadharaj,PMK,PMK+,49460,2,Tamil Selvi Varadharaj,,
Veppanahalli,N,Krishnagiri,8,Prema Nathan,BJP,BJP+,37821,3,Prema Nathan,,
Veppanahalli,N,Krishnagiri,8,Ilan Tamilan,NTK,NTK+,32884,4,Ilan Tamilan,,
Hosur,N,Krishnagiri,8,Muniraj.P,PMK,PMK+,62646,1,Muniraj.P,,
Hosur,N,Krishnagiri,8,Gopi Nath,INC,DMK+,60985,2,Gopi Nath,,
Hosur,N,Krishnagiri,8,Chandran,DMDK,PWF+,59749,3,Chandran,,
Hosur,N,Krishnagiri,8,Bala Krishnan.G,BJP,BJP+,26333,4,Bala Krishnan.G,,
Hosur,N,Krishnagiri,8,Bala Krishna Reddy.P,ADMK,ADMK+,6170,5,Bala Krishna Reddy.P,,
Hosur,N,Krishnagiri,8,Alex Esthar,NTK,NTK+,1898,6,Alex Esthar,,
Thalli,N,Krishnagiri,8,Prakash,DMK,DMK+,69002,1,Prakash,,
Thalli,N,Krishnagiri,8,Nagesh.C,ADMK,ADMK+,55563,2,Nagesh.C,,
Thalli,N,Krishnagiri,8,Tamil Selvan,NTK,NTK+,39573,3,Tamil Selvan,,
Thalli,N,Krishnagiri,8,Arun Raj,PMK,PMK+,28212,4,Arun Raj,,
Thalli,N,Krishnagiri,8,Ramachandran.T,CPM,PWF+,27022,5,Ramachandran.T,,
Thalli,N,Krishnagiri,8,Rama Chandran.B,BJP,BJP+,17184,6,Rama Chandran.B,,
Uthangarai,S,Krishnagiri,8,Anguthi.N,PMK,PMK+,63098,1,Anguthi.N,,
Uthangarai,S,Krishnagiri,8,Venkateshan,NTK,NTK+,32466,2,Venkateshan,,
Uthangarai,S,Krishnagiri,8,Pandu.S.A,BJP,BJP+,29387,3,Pandu.S.A,,
Uthangarai,S,Krishnagiri,8,Krishnan.C @ Kani Amuthan,VC,PWF+,24035,4,Krishnan.C @ Kani Amuthan,,
Uthangarai,S,Krishnagiri,8,Malathy Narayanan Swamy,DMK,DMK+,2411,5,Malathy Narayanan Swamy,,
Aravakurichi,N,Karur,9,Prabhu,IJK,BJP+,48682,1,Prabhu,,
Aravakurichi,N,Karur,9,Kalai Arasu,MDMK,PWF+,48515,2,Kalai Arasu,,
Aravakurichi,N,Karur,9,Baskaran.M,PMK,PMK+,45060,3,Baskaran.M,,
Aravakurichi,N,Karur,9,Tamilan Aravind,NTK,NTK+,39569,4,Tamilan Aravind,,
Aravakurichi,N,Karur,9,Palani Swamy.K.C,DMK,DMK+,17503,5,Palani Swamy.K.C,,
Aravakurichi,N,Karur,9,Senthil Balaji.V,ADMK,ADMK+,15177,6,Senthil Balaji.V,,
Karur,N,Karur,9,Vijaya Baskar.M.R,ADMK,ADMK+,62813,1,Vijaya Baskar.M.R,,
Karur,N,Karur,9,Nan Maran,NTK,NTK+,52585,2,Nan Maran,,
Karur,N,Karur,9,Ravi,DMDK,PWF+,36290,3,Ravi,,
Karur,N,Karur,9,Subramaniam,INC,DMK+,33920,4,Subramaniam,,
Karur,N,Karur,9,Siva Swamy.K.,BJP,BJP+,8383,5,Siva Swamy.K.,,
Karur,N,Karur,9,Murugeshan.M,PMK,PMK+,4919,6,Murugeshan.M,,
Krishnarajapuram,S,Karur,9,Thava Mani Padma Nabhan,NTK,NTK+,66937,1,Thava Mani Padma Nabhan,,
Krishnarajapuram,S,Karur,9,Geetha.M,ADMK,ADMK+,35885,2,Geetha.M,,
Krishnarajapuram,S,Karur,9,Pandiyan.M,PMK,PMK+,35220,3,Pandiyan.M,,
Krishnarajapuram,S,Karur,9,Naveen Kumar.P,BJP,BJP+,22737,4,Naveen Kumar.P,,
Krishnarajapuram,S,Karur,9,Shivanantham,TMC,PWF+,3496,5,Shivanantham,,
Krishnarajapuram,S,Karur,9,Iyer.V.K.,PT,DMK+,2280,6,Iyer.V.K.,,
Kulithalai,N,Karur,9,Jamuna,DMDK,PWF+,64824,1,Jamuna,,
Kulithalai,N,Karur,9,Sathakkathulla.N.K.N,AIMMK,BJP+,60796,2,Sathakkathulla.N.K.N,,
Kulithalai,N,Karur,9,Chandra Sekaran.R,ADMK,ADMK+,40693,3,Chandra Sekaran.R,,
Kulithalai,N,Karur,9,Ramar,DMK,DMK+,29043,4,Ramar,,
Kulithalai,N,Karur,9,Seeni Prakash,NTK,NTK+,22157,5,Seeni Prakash,,
Kulithalai,N,Karur,9,Bala Subramanian.C,PMK,PMK+,9049,6,Bala Subramanian.C,,
Manapparai,N,Tiruchirappalli,9,Leema Siva Kumar.A,PMK,PMK+,66649,1,Leema Siva Kumar.A,,
Manapparai,N,Tiruchirappalli,9,Krishna Gopal,DMDK,PWF+,56774,2,Krishna Gopal,,
Manapparai,N,Tiruchirappalli,9,Mohmed Nizam,IUML,DMK+,54487,3,Mohmed Nizam,,
Manapparai,N,Tiruchirappalli,9,Chandra Sekar.R,ADMK,ADMK+,40600,4,Chandra Sekar.R,,
Manapparai,N,Tiruchirappalli,9,Aruna Giri,NTK,NTK+,31136,5,Aruna Giri,,
Manapparai,N,Tiruchirappalli,9,Senthil Deepak,BJP,BJP+,13067,6,Senthil Deepak,,
Srirangam,N,Tiruchirappalli,9,Valar Mathi.S,ADMK,ADMK+,68149,1,Valar Mathi.S,,
Srirangam,N,Tiruchirappalli,9,Kamal,NTK,NTK+,46691,2,Kamal,,
Srirangam,N,Tiruchirappalli,9,Palani Andi,DMK,DMK+,30110,3,Palani Andi,,
Srirangam,N,Tiruchirappalli,9,Uma Maheshwari.S,PMK,PMK+,29635,4,Uma Maheshwari.S,,
Srirangam,N,Tiruchirappalli,9,Rajesh Kumar.A,BJP,BJP+,19614,5,Rajesh Kumar.A,,
Srirangam,N,Tiruchirappalli,9,Pushpam Vaithyanathan,CPM,PWF+,18086,6,Pushpam Vaithyanathan,,
