state,constituency,party,name,age,category,gender,votes,polled_votes,year,poll_date,education,assets,criminal_cases,color
Kerala,Kottayam,Kerala Congress  (M),JOSE K. MANI,49,GEN,Male,424194,831636,2014,10-04-2014,Post Graduate,26236371,0,#999
Madhya Pradesh,Rewa,Bharatiya Janata Party,JANARDAN MISHRA,58,GEN,Male,383320,830002,2014,10-04-2014,Graduate Professional,10156568,0,#FB7B0D
Bihar,Darbhanga,Bharatiya Janata Party,KIRTI AZAD,55,GEN,Male,314949,828342,2014,30-04-2014,Graduate,28531267,4,#FB7B0D
Uttar Pradesh,Rae Bareli,Indian National Congress,SONIA GANDHI,67,GEN,Female,526434,825136,2014,30-04-2014,Graduate,92895288,0,#019733
Maharashtra,Kalyan,Shivsena,DR.SHRIKANT EKNATH SHINDE,27,GEN,Male,440892,824196,2014,24-04-2014,Graduate Professional,998000,0,#F05A00
Bihar,Purvi Champaran,Bharatiya Janata Party,RADHA MOHAN SINGH,64,GEN,Male,400452,822671,2014,12-05-2014,Graduate,22558073,0,#FB7B0D
Kerala,Idukki,Independent,ADV.JOICE GEORGE,44,GEN,Male,382019,819766,2014,10-04-2014,Graduate Professional,17396207,4,#95b3d7
Tamil Nadu,Chennai Central,All India Anna Dravida Munnetra Kazhagam,S.R. VIJAYAKUMAR,40,GEN,Male,333296,814894,2014,24-04-2014,Graduate Professional,13401510,0,#9DBC2A
Bihar,Jahanabad,Rashtriya Lok Samta Party,DR. ARUN KUMAR,55,GEN,Male,322647,811516,2014,17-04-2014,Doctorate,38846631,1,#999
Gujarat,Porbandar,Bharatiya Janata Party,RADADIYA VITHALBHAI  HANSRAJBHAI,55,GEN,Male,508437,809433,2014,30-04-2014,Graduate,73003639,10,#FB7B0D
Bihar,Gaya (Sc),Bharatiya Janata Party,HARI MANJHI,51,GEN,Male,326230,809378,2014,10-04-2014,8th,10184120,1,#FB7B0D
Gujarat,Amreli,Bharatiya Janata Party,KACHHADIYA NARANBHAI BHIKHABHAI,58,GEN,Male,436715,808816,2014,30-04-2014,12th,34164801,2,#FB7B0D
Assam,Silchar,Indian National Congress,SUSHMITA DEV,41,GEN,Female,336451,799830,2014,12-04-2014,Post Graduate,87495844,1,#019733
Himachal Pradesh,Kangra,Bharatiya Janata Party,SHANTA KUMAR,79,GEN,Male,456163,799445,2014,07-05-2014,Graduate Professional,19852104,0,#FB7B0D
Jharkhand,Singhbhum,Bharatiya Janata Party,LAXMAN GILUWA,52,GEN,Male,303131,795286,2014,17-04-2014,12th,8094301,4,#FB7B0D
Bihar,Karakat,Rashtriya Lok Samta Party,UPENDRA KUSHWAHA,51,GEN,Male,338892,789927,2014,10-04-2014,Post Graduate,24829741,4,#999
Maharashtra,Mumbai   South,Shivsena,ARVIND SAWANT,62,GEN,Male,374780,780715,2014,24-04-2014,Graduate,13067446,1,#F05A00
Uttarakhand,Tehri Garhwal,Bharatiya Janata Party,MALA RAJYA LAXMI SHAH,64,GEN,Female,446733,776214,2014,07-05-2014,12th,1662109875,0,#FB7B0D
Bihar,Jamui (Sc),Lok Jan Shakti Party,CHIRAG KUMAR PASWAN,32,GEN,Male,285354,775639,2014,10-04-2014,12th,10414470,0,#999
Manipur,Outer Manipur,Indian National Congress,THANGSO BAITE,61,GEN,Male,296770,771766,2014,09-04-2014,Post Graduate,5947000,0,#019733
Chhattisgarh,Bastar,Bharatiya Janata Party,DINESH KASHYAP,51,GEN,Male,385829,769913,2014,10-04-2014,Post Graduate,16108199,1,#FB7B0D
Maharashtra,Mumbai South Central,Shivsena,RAHUL RAMESH SHEWALE,41,GEN,Male,381275,769060,2014,24-04-2014,Others,13304397,1,#F05A00
Madhya Pradesh,Tikamgarh,Bharatiya Janata Party,DR. VIRENDRA KUMAR,60,GEN,Male,422979,766321,2014,17-04-2014,Doctorate,8764635,0,#FB7B0D
Puducherry,Puducherry,All India N.R. Congress,R. RADHAKRISHNAN,42,GEN,Male,255826,740017,2014,24-04-2014,Post Graduate,77724418,0,#999
Himachal Pradesh,Shimla,Bharatiya Janata Party,VIRENDER KASHYAP,63,GEN,Male,385973,737757,2014,07-05-2014,Post Graduate,5228095,0,#FB7B0D
Jharkhand,Khunti,Bharatiya Janata Party,KARIA MUNDA,77,GEN,Male,269185,736955,2014,17-04-2014,Post Graduate,7474796,0,#FB7B0D
Madhya Pradesh,Bhind,Bharatiya Janata Party,DR. BHAGIRATH PRASAD,66,GEN,Male,404474,729084,2014,17-04-2014,Doctorate,21240286,0,#FB7B0D
Himachal Pradesh,Mandi,Bharatiya Janata Party,RAM SWAROOP SHARMA,55,GEN,Male,362824,726094,2014,07-05-2014,10th,10178871,0,#FB7B0D
Jharkhand,Chatra,Bharatiya Janata Party,SUNIL KUMAR SINGH,52,GEN,Male,295862,712971,2014,10-04-2014,Post Graduate,174744806,0,#FB7B0D
Uttarakhand,Garhwal,Bharatiya Janata Party,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),79,GEN,Male,405690,682024,2014,07-05-2014,Graduate Professional,44357368,0,#FB7B0D
Uttarakhand,Almora,Bharatiya Janata Party,AJAY TAMTA,41,GEN,Male,348186,656525,2014,07-05-2014,12th,6366653,0,#FB7B0D
Jharkhand,Lohardaga,Bharatiya Janata Party,SUDARSHAN BHAGAT,45,GEN,Male,226666,651460,2014,10-04-2014,Graduate,9031009,0,#FB7B0D
Manipur,Inner Manipur,Indian National Congress,DR. THOKCHOM MEINYA,69,GEN,Male,292102,640871,2014,17-04-2014,Doctorate,3825200,0,#019733
Meghalaya,Shillong,Indian National Congress,VINCENT H. PALA,46,GEN,Male,209340,619987,2014,09-04-2014,Graduate Professional,497108058,0,#019733
Assam,Autonomous District,Indian National Congress,BIREN SINGH ENGTI,74,GEN,Male,213152,543280,2014,12-04-2014,Post Graduate,35367390,0,#019733
Jammu & Kashmir,Baramulla,Jammu & Kashmir Peoples Democratic Party,MUZAFFAR HUSSAIN BAIG,67,GEN,Male,175277,465992,2014,07-05-2014,Post Graduate,200707183,0,#999
Meghalaya,Tura,National Peoples Party,PURNO AGITOK SANGMA,66,GEN,Male,239301,458071,2014,09-04-2014,Post Graduate,215134618,0,#999
Chandigarh,Chandigarh,Bharatiya Janata Party,KHER KIRRON ANUPAM,61,GEN,Female,191362,453455,2014,10-04-2014,Post Graduate,335343871,0,#FB7B0D
Mizoram,Mizoram,Indian National Congress,C. L. RUALA,78,GEN,Male,210485,433201,2014,11-04-2014,Graduate,25733421,0,#019733
Goa,South Goa,Bharatiya Janata Party,ADV. NARENDRA KESHAV SAWAIKAR,47,GEN,Male,198776,410369,2014,12-04-2014,Graduate Professional,6260382,0,#FB7B0D
Goa,North Goa,Bharatiya Janata Party,SHRIPAD YESSO NAIK,61,GEN,Male,237903,406631,2014,12-04-2014,Graduate,37019154,0,#FB7B0D
Jammu & Kashmir,Anantnag,Jammu & Kashmir Peoples Democratic Party,MEHBOOBA MUFTI,54,GEN,Female,200429,375279,2014,24-04-2014,Graduate Professional,5200000,1,#999
Arunachal Pradesh,Arunachal West,Bharatiya Janata Party,KIREN RIJIJU,42,GEN,Male,169367,335665,2014,09-04-2014,Graduate,12539868,0,#FB7B0D
Jammu & Kashmir,Srinagar,Jammu & Kashmir Peoples Democratic Party,TARIQ HAMEED KARRA,58,GEN,Male,157923,312212,2014,30-04-2014,Graduate Professional,984556436,0,#999
Sikkim,Sikkim,Sikkim Democratic Front,PREM DAS RAI,59,GEN,Male,163698,308967,2014,12-04-2014,Post Graduate,32389223,0,#999
Arunachal Pradesh,Arunachal East,Indian National Congress,NINONG ERING,55,GEN,Male,118455,261291,2014,09-04-2014,Graduate,88065000,0,#019733
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bharatiya Janata Party,BISHNU PADA RAY,64,GEN,Male,90969,190328,2014,10-04-2014,Graduate,5658980,1,#FB7B0D
Dadra & Nagar Haveli,Dadar & Nagar Haveli,Bharatiya Janata Party,PATEL NATUBHAI GOMANBHAI,41,GEN,Male,80790,165286,2014,30-04-2014,5th,154760217,5,#FB7B0D
Jammu & Kashmir,Ladakh,Bharatiya Janata Party,THUPSTAN CHHEWANG,67,GEN,Male,31111,118029,2014,07-05-2014,Graduate Professional,19852701,0,#FB7B0D
Daman & Diu,Daman & Diu,Bharatiya Janata Party,PATEL LALUBHAI BABUBHAI,58,GEN,Male,46960,87233,2014,30-04-2014,8th,144931238,1,#FB7B0D
Lakshadweep,Lakshadweep,Nationalist Congress Party,MOHAMMED FAIZAL P.P.,38,GEN,Male,21665,43239,2014,10-04-2014,Post Graduate,538119,3,#999
